situação,revisor,id,campo,ano,numero_questao,enunciado,alternativas,resposta_correta,link
Não Verificada,Paulo,ID_1,Linguagens,2024,2,"Holy War     Oh, so we can hate each other and fear each other  We can build these walls between each other  Baby, blow by blow and brick by brick  Keep yourself locked in, yourself locked in  [...]  Oh, maybe we should love somebody  Oh, maybe we could care a little more  So maybe we should love somebody  Instead of polishing the bombs of holy war     KEYS, A. Hera. Estados Unidos: RCA Records, 2016.        Nessa letra de canção, que aborda um contexto de ódio e intolerância, o marcador “instead of” introduz a ideia de","a) mudança de comportamento.   


b) panorama de conflitos.   

c) rotina de isolamento.   

d) perspectiva bélica.   

e) cenário religioso.   ",A),https://resolveenem.com.br/gabarito-enem/2024/holy-war-oh-so-we-can-hate-each-other-and-fear-each-other-we-can-build-these-walls-between-each-oth?cor=azul&lingua-estrangeira=ingles
Não Verificada,Paulo,ID_2,Linguagens,2024,4,"I remember being caught speaking Spanish at recess I remember being sent to the corner of the classroom for “talking back” to the Anglo teacher when all I was trying to do was tell her how to pronounce my name. “if you want to be American, speak ‘American’. if you don’t like it, go back to Mexico where you belong”. “I want you to speak English [...]”, my mother would say, mortified that I spoke English like a Mexican. At Pan American University, I and all Chicano students were required to take two speech classes. Their purpose: to get rid of our accents. ANZALDÚA, G. Borderlands/La Frontera: The New Mestiza. San Francisco: Aunt Lute Books, 1987. O problema abordado nesse texto sobre imigrantes residentes nos Estados Unidos diz respeito aos prejuízos gerados pelo(a)","a) repúdio ao sotaque espanhol no uso do inglês.   

b) resignação diante do apagamento da língua materna.   

c) escassez de oportunidades de aprendizado do espanhol.   

d) choque entre falantes de línguas distintas de diferentes gerações.   

e) concorrência entre as variações linguísticas do inglês e as do espanhol.",A),https://resolveenem.com.br/gabarito-enem/2024/i-remember-being-caught-speaking-spanish-at-recess-i-remember-being-sent-to-the-corner-of-the-classr?cor=azul&lingua-estrangeira=ingles
Não Verificada,Paulo,ID_3,Linguagens,2024,6," 

“Na linguagem, podemos nos ver da forma mais verdadeira: nossas crenças, nossos valores, nosso lugar no mundo”, afirmou o doutor em linguística e professor da Ufam em seu livro Amazonês: expressões e termos usados no Amazonas. Portanto, o amazonense, com todas as suas “cunhantãs” e “curumins”, acaba por encontrar um lugar no mundo e formar uma unidade linguística, informalmente denominada de português “caboco”, que muito se diferencia do português “mineiro”, “gaúcho”, “carioca” e de tantos outros espalhados pelo Brasil. O livro, que conta com cerca de 1100 expressões e termos típicos do falar amazonense, levou dez anos para ser construído. Para o autor, o principal objetivo da obra é registrar a linguagem.

Um designer amazonense também acha o amazonês “xibata”, tanto é que criou uma série de camisetas estampadas com o nome de Caboquês Ilustrado, que mistura o bom humor com as expressões típicas da região.

A coleção conta com sete modelos já lançados, entre eles: Leseira Baré, Xibata no Balde e Até o Tucupi, e 43 ainda na fila de espera. Para o criador, as camisas têm como objetivo “resgatar o orgulho do povo manauara, do povo do Norte”.

 

Disponível em: https://g1.globo.com. Acesso em: 15 jan. 2024 (adaptado).

 

A reportagem apresenta duas iniciativas: o livro Amazonês e as camisetas do Caboquês Ilustrado. Com temática em comum, essas iniciativas","a) recomendam produtos feitos por empreendedores da região Norte. 

b) ressaltam diferenças entre o falar manauara e outros falares.

c) reverenciam o trabalho feito por pesquisadores brasileiros.

d) destacam a descontração no jeito de ser do amazonense. 

e) valorizam o repertório linguístico do povo do Amazonas ",E),https://resolveenem.com.br/gabarito-enem/2024/expressoes-e-termos-utilizados-no-amazonas-sao-retratados-em-livro-e-em-camisetas-na-li?cor=azul&lingua-estrangeira=ingles
Não Verificada,Paulo,ID_4,Linguagens,2024,7,"Conheça histórias de atletas paralímpicas que trocaram de modalidade durante a carreira esportiva Jane Karla: a goiana de 45 anos teve poliomielite aos três anos, o que prejudicou seus movimentos das pernas. Em 2003, iniciou no tênis de mesa e conseguiu conquistar títulos nacionais e internacionais. Mas conheceu o tiro com arco e, em 2015, optou por se dedicar somente à nova modalidade. Em seu ano de estreia no tiro, já faturou a medalha de ouro nos Jogos Parapan-Americanos de Toronto 2015. Elizabeth Gomes: a santista de 55 anos era jogadora de vôlei quando foi diagnosticada com esclerose múltipla em 1993. Ingressou no Movimento Paralímpico pelo basquete em cadeira de rodas até experimentar o atletismo. Chegou a praticar as duas modalidades simultaneamente até optar pelas provas de campo em 2010. No Campeonato Mundial de Atletismo, realizado em Dubai, em 2019, Beth se sagrou campeã do lançamento de disco e estabeleceu um novo recorde mundial da classe F52. Silvana Fernandes: a paraibana de 21 anos é natural de São Bento e nasceu com malformação no braço direito. Aos 15 anos, começou a praticar atletismo no lançamento de dardo. Em 2018, enquanto competia na regional Norte-Nordeste, foi convidada para conhecer o paratae kwon do. No ano seguinte, migrou para a modalidade e já faturou o ouro na categoria até 58 kg nos Jogos Parapan- Americanos de Lima 2019. Disponível em: https://cpb.org.br. Acesso em: 15 jan. 2024 (adaptado). Esse conjunto de minibiografias tem como propósito","a) descrever as rotinas de treinamento das atletas.

b) comparar os desempenhos de atletas de alto rendimento.

c) destacar a trajetória profissional de atletas paralímpicas brasileiras.


d) indicar as categorias mais adequadas a adaptações paralímpicas. 

e) estimular a participação de mulheres em campeonatos internacionais.",C),https://resolveenem.com.br/gabarito-enem/2024/conheca-historias-de-atletas-paralimpicas-que-trocaram-de-modalidade-durante-a-carreira?cor=azul&lingua-estrangeira=ingles
Não Verificada,Paulo,ID_5,Linguagens,2024,8,"É fundamentalmente no Minho, norte de Portugal, que o cavaquinho aparece como instrumento tipicamente popular, ligado às formas essenciais da música característica dessa província. O cavaquinho minhoto tem escala rasa com o tampo, o que facilita a prática do “rasqueado”. O cavaquinho chega ao Brasil diretamente de Portugal, e o modelo brasileiro é maior do que a sua versão portuguesa, com uma caixa de ressonância mais funda. Semelhante ao cavaquinho minhoto, o machete, ou machetinho madeirense, é um pequeno cordófono de corda dedilhada, que faz parte da grande e diversificada família das violas de mão portuguesas. O ukulele tem a sua origem no século XIX, tendo como ancestrais o braguinha (ou machete) e o rajão, instrumentos levados pelos madeirenses quando eles emigraram para o Havaí.

 

OLIVEIRA, E. V. Cavaquinhos e família. Disponível em: https://casadaguitarra.pt. Acesso em: 18 nov. 2021 (adaptado).

 

O conjunto dessas práticas musicais demonstra que os instrumentos mencionados no texto","a) refletem a dependência da utilização de matéria-prima europeia.

b) adaptam suas características a cada cultura, assumindo nova identidade.


c) comprovam a hegemonia portuguesa na invenção de cordófonos dedilhados. 

d) ilustram processos de dominação cultural, evidenciando situações de choque cultural. 

e) mantêm nomenclatura própria para garantir a fidelidade às formas originais de confecção. ",B),https://resolveenem.com.br/gabarito-enem/2024/e-fundamentalmente-no-minho-norte-de-portugal-que-o-cavaquinho-aparece-como-instrument?cor=azul&lingua-estrangeira=ingles
Não Verificada,Paulo,ID_6,Linguagens,2024,9,"Pressão, depressão, estresse e crise de ansiedade. Os males da sociedade contemporânea também estão no esporte. A tenista Naomi Osaka, do Japão, jogadora mais bem paga do mundo e que já ocupou o número 2 do ranking, retirou-se do torneio de Roland Garros de 2021 porque não estava conseguindo administrar as crises de ansiedade provocadas pelos grandes eventos, por ser uma estrela aos 23 anos, e pelo peso de parte da imprensa. O tenista australiano Nick Kyrgios, de 25 anos, revelou sua “situação triste e solitária” enquanto lutava contra a depressão causada pelo ritmo avassalador do Circuito Mundial de Tênis. O jogador de basquete americano Kevin Love também tornou público seu quadro de ansiedade e depressão. O mundo do atleta é solitário e distante da família. O que vemos numa partida não reflete a rotina desgastante. A imprensa denomina atletas como heróis, como se aquele corpo fosse indestrutível, mas a mente é o ponto fraco da história.

 

Disponível em: www.uol.com.br. Acesso em: 31 out. 2021 (adaptado).

 

As causas do desequilíbrio na saúde mental apontadas no texto estão relacionadas às","a) nacionalidades diversificadas dos praticantes. 

b) modalidades esportivas distintas.

c) faixas etárias aproximadas.

d) representações heroicas dos atletas. 

e) pressões constantes dos eventos e da mídia.",E),https://resolveenem.com.br/gabarito-enem/2024/pressao-depressao-estresse-e-crise-de-ansiedade-os-males-da-sociedade-contemporanea-t?cor=azul&lingua-estrangeira=ingles
Não Verificada,Paulo,ID_7,Linguagens,2024,10,"Já ouvi gente falando que o podcast é o renascimento do rádio. O rádio é genial, uma mídia imorredoura, mas podcast não tem nada a ver com ele. O formato está mais próximo do ensaio literário do que de um programa de ondas curtas, médias ou longas.

Podcasts são antípodas das redes sociais. Enquanto elas são dispersivas, levam à evasão e à desinformação, os podcasts são uma possibilidade de imersão, concentração, aprendizado. Depois que eles surgiram, lavar a louça e me locomover pela cidade viraram um programaço. Um pós-almoço de domingo e aprendo tudo sobre bonobos e gorilas. Um táxi pro aeroporto e chego ao embarque PhD em reforma tributária.

 

PRATA, A. Disponível em: www1.folha.uol.com.br. Acesso em: 7 jan. 2024 (adaptado).

 

Segundo a argumentação construída nesse texto, o podcast
","a) provoca dispersão da atenção em seu público.

b) funciona por meio de uma frequência de ondas curtas. 

c) propicia divulgação de conhecimento para seus usuários. 

d) tem um formato de interação semelhante ao das redes sociais.

e) constitui uma evolução na transmissão de informações via rádio. ",C),https://resolveenem.com.br/gabarito-enem/2024/ja-ouvi-gente-falando-que-o-podcast-e-o-renascimento-do-radio-o-radio-e-genial-uma-mid?cor=azul&lingua-estrangeira=ingles
Não Verificada,Paulo,ID_8,Linguagens,2024,11,"Evanildo Bechara prepara a sua aposentadoria de pouco em pouco, como se a adiasse ao máximo. Aos 95 anos, o imortal da Academia Brasileira de Letras (ABL) alcançou um status de astro pop no mundo da filologia e da gramática. Quando ainda tinha saúde para viagens mais longas, o filólogo lotava plateias em suas palestras na Europa e no Brasil, que não raro terminavam com filas para selfies.

A idade acentuou o lado “cientista” e professoral de Bechara, que adota um tom técnico na conversa até mesmo diante das perguntas mais pessoais. — “Qual o seu tipo preferido de leitura?”, — “A minha leitura está dividida em duas partes, a científica e a literária, estabelecendo uma relação de causa e efeito entre elas.” — responde.

Ainda adolescente, Bechara descobriu a lexicologia. Um “novo mundo” se abriu para o pernambucano, que se mantém atento às metamorfoses do nosso idioma. Seu colega de ABL, o filólogo Ricardo Cavaliere, se lembra de quando deu carona para o mestre e este encucou com os estrangeirismos do aplicativo de navegação instalado no veículo. — “A vozinha do aplicativo avisou que havia um radar de velocidade ‘reportado’ à frente”, lembra Cavaliere. — “Esse ‘reportado’ é uma importação, né?”, notou Bechara.

 

Disponível em: https://oglobo.globo.com. Acesso em: 3 jan. 2024 (adaptado).

 

Nesse texto, as falas atribuídas a Evanildo Bechara são representativas da variedade linguística","a) situacional, pois o contexto exige o uso da linguagem formal.

b) regional, pois ele traz marcas do falar de seu local de nascimento.

c) sociocultural, pois sua formação pressupõe o uso de linguagem rebuscada. 

d) geracional, pois ele emprega termos característicos de sua faixa etária.

e) ocupacional, pois ele faz uso de termos específicos de sua área de atuação",E),https://resolveenem.com.br/gabarito-enem/2024/evanildo-bechara-prepara-a-sua-aposentadoria-de-pouco-em-pouco-como-se-a-adiasse-ao-max?cor=azul&lingua-estrangeira=ingles
Não Verificada,Paulo,ID_9,Linguagens,2024,12,"A Língua da Tabatinga, falada na cidade de Bom Despacho, Minas Gerais, foi por muito tempo estigmatizada devido à sua origem e à própria classe social de seus falantes, pois, segundo uma pesquisadora, era falada por “meninos pobres vindos da Tabatinga ou de Cruz de Monte – ruas da periferia da cidade cujos habitantes sempre foram tidos por marginais”. Conhecida por antigos como a “língua dos engraxates”, pois muitos trabalhadores desse ofício conversavam nessa língua enquanto lustravam sapatos na praça da matriz, a Língua da Tabatinga era utilizada por negros escravizados como uma espécie de “língua secreta”, um código para trocarem informações de como conseguir alimentos, ou para planejar fugas de seus senhores sem risco de serem descobertos por eles.

De acordo com um documento do Iphan (2011), os falantes da língua apresentam uma forte consciência de sua relação com a descendência africana e da importância de preservar a “fala que os identifica na região”. Essa mudança de compreensão tangencia aspectos de pertencimento, pois, à medida que o falante da Língua da Tabatinga se identifica com a origem afro-brasileira, ele passa a ver essa língua como um legado recebido e tem o cuidado de transmiti-la para outras gerações. A concentração de falantes dessa língua está na faixa entre 21 e 60 anos de idade.

 

Disponível em: www.historiaeparcerias2019.rj.anpuh.org. Acesso em: 3 fev. 2024 (adaptado).

 

A Língua da Tabatinga tem sido preservada porque o(a)","a) seu registro passou da forma oral para a escrita.

b) classe social de seus usuários ganhou prestígio.

c) sua função inicial se manteve ao longo dos anos.

d) sentimento de identidade linguística tem se consolidado.


e) perfil etário de seus falantes tem se tornado homogêneo.",D),https://resolveenem.com.br/gabarito-enem/2024/a-lingua-da-tabatinga-falada-na-cidade-de-bom-despacho-minas-gerais-foi-por-muito-tem?cor=azul&lingua-estrangeira=ingles
Não Verificada,Paulo,ID_10,Linguagens,2024,13,"Diante do pouco dinheiro para produtos básicos de sobrevivência, são as adolescentes o alvo mais vulnerável à precariedade menstrual. Sofrem com dois fatores: o desconhecimento da importância da higiene menstrual para sua saúde e a dependência dos pais ou familiares para a compra do absorvente, que acaba entrando na lista de artigos supérfluos da casa.

A falta do absorvente afeta diretamente o desempenho escolar dessas estudantes e, como consequência, restringe o desenvolvimento de seu potencial na vida adulta. Dados da Pesquisa Nacional de Saúde (PNS), do IBGE, revelaram que, das meninas entre 10 e 19 anos que deixaram de fazer alguma atividade (estudar, realizar afazeres domésticos, trabalhar ou, até mesmo, brincar) por problemas de saúde nos 14 dias anteriores à data da pesquisa, 2,88% deixaram de fazê-la por problemas menstruais. Para efeitos de comparação, o índice de meninas que relataram não ter conseguido realizar alguma de suas atividades por gravidez e parto foi menor: 2,55%.

Dados da ONU apontam que, no mundo, uma em cada dez meninas falta às aulas durante o período menstrual. No Brasil, esse número é ainda maior: uma entre quatro estudantes já deixou de ir à escola por não ter absorventes. Com isso, perdem, em média, até 45 dias de aula, por ano letivo, como revela o levantamento Impacto da Pobreza Menstrual no Brasil. O ato biológico de menstruar acaba por virar mais um fator de desigualdade de oportunidades entre os gêneros.

 

Disponível em: www12.senado.leg.br. Acesso em: 21 jan. 2024 (adaptado).

 

Esse texto é marcado pela função referencial da linguagem, uma vez que cumpre o propósito de","a) sugerir soluções para um problema de ordem social.

b) estabelecer uma relação entre menstruação e gravidez.

c) comparar o desempenho acadêmico de mulheres e homens. 

d) informar o leitor sobre o impacto da pobreza menstrual na vida das mulheres.


e) orientar o público sobre a necessidade de rotinas de autocuidado na adolescência. ",D),https://resolveenem.com.br/gabarito-enem/2024/diante-do-pouco-dinheiro-para-produtos-basicos-de-sobrevivencia-sao-as-adolescentes-o-a?cor=azul&lingua-estrangeira=ingles
